production_system,group,age_group,sex,ahle_component,cause,disease,median,mean,sd,lower95,upper95,pct_of_total,exchg_rate_lcuperusdol,mean_usd,median_usd,lower95_usd,upper95_usd,sd_usd
Crop livestock mixed,Adult male,Adult,Male,Production loss,External,Cause 4,255243553.640134,253125049.028162,112144123.6937104,33322566.588489622,472927531.46783435,0.14114843625148338,29.06975,8707506.91107292,8780383.513450718,1146296.97842223,16268716.843723608,3857760.16971974
Crop livestock mixed,Adult male,Adult,Male,Production loss,External,Cause 5,255243553.640134,253125049.028162,112144123.6937104,33322566.588489622,472927531.46783435,0.14114843625148338,29.06975,8707506.91107292,8780383.513450718,1146296.97842223,16268716.843723608,3857760.16971974
Crop livestock mixed,Juvenile,Juvenile,Overall,Production loss,External,Cause 1,36604075.1294726,37587080.5224512,102536450.9546042,-163384363.34857303,238558524.3934754,0.020959433526518807,29.06975,1292996.3457701288,1259180.9399624213,-5620425.471446196,8206418.162986453,3527256.029192002
Crop livestock mixed,Juvenile,Juvenile,Overall,Production loss,External,Cause 2,36604075.1294726,37587080.5224512,102536450.9546042,-163384363.34857303,238558524.3934754,0.020959433526518807,29.06975,1292996.3457701288,1259180.9399624213,-5620425.471446196,8206418.162986453,3527256.029192002
Crop livestock mixed,Juvenile,Juvenile,Overall,Production loss,External,Cause 3,36604075.1294726,37587080.5224512,102536450.9546042,-163384363.34857303,238558524.3934754,0.020959433526518807,29.06975,1292996.3457701288,1259180.9399624213,-5620425.471446196,8206418.162986453,3527256.029192002
Crop livestock mixed,Juvenile,Juvenile,Overall,Production loss,External,Cause 4,36604075.1294726,37587080.5224512,102536450.9546042,-163384363.34857303,238558524.3934754,0.020959433526518807,29.06975,1292996.3457701288,1259180.9399624213,-5620425.471446196,8206418.162986453,3527256.029192002
Crop livestock mixed,Juvenile,Juvenile,Overall,Production loss,External,Cause 5,36604075.1294726,37587080.5224512,102536450.9546042,-163384363.34857303,238558524.3934754,0.020959433526518807,29.06975,1292996.3457701288,1259180.9399624213,-5620425.471446196,8206418.162986453,3527256.029192002
Crop livestock mixed,Neonate,Neonatal,Overall,Production loss,External,Cause 1,21796491.477624,24650587.395574998,100031284.79019241,-171410730.79320213,220711905.5843521,0.013745742971407106,29.06975,847980.715196209,749799.7567101197,-5896532.67720576,7592494.107598177,3441078.261429576
Crop livestock mixed,Neonate,Neonatal,Overall,Production loss,External,Cause 2,21796491.477624,24650587.395574998,100031284.79019241,-171410730.79320213,220711905.5843521,0.013745742971407106,29.06975,847980.715196209,749799.7567101197,-5896532.67720576,7592494.107598177,3441078.261429576
Crop livestock mixed,Neonate,Neonatal,Overall,Production loss,External,Cause 3,21796491.477624,24650587.395574998,100031284.79019241,-171410730.79320213,220711905.5843521,0.013745742971407106,29.06975,847980.715196209,749799.7567101197,-5896532.67720576,7592494.107598177,3441078.261429576
Crop livestock mixed,Neonate,Neonatal,Overall,Production loss,External,Cause 4,21796491.477624,24650587.395574998,100031284.79019241,-171410730.79320213,220711905.5843521,0.013745742971407106,29.06975,847980.715196209,749799.7567101197,-5896532.67720576,7592494.107598177,3441078.261429576
