region,scope,number_of_countries,antimicrobial_class,amu_tonnes,importance_ctg,antimicrobial_class_group,antimicrobial_class_group2,biomass_total_kg,amu_mg_perkgbiomass
Middle East,AGP,0.0,fluoroquinolones,0.0,A: Critically Important,fluoroquinolones,others,,
Africa,All,24.0,fluoroquinolones,91.39779790500002,A: Critically Important,fluoroquinolones,others,82210550037.93834,1.1117526626792056
Americas,All,19.0,fluoroquinolones,428.54548516660003,A: Critically Important,fluoroquinolones,others,307414936043.14056,1.3940294856280528
"Asia, Far East and Oceania",All,22.0,fluoroquinolones,867.5345784811577,A: Critically Important,fluoroquinolones,others,282812613977.946,3.067524345108627
Europe,All,41.0,fluoroquinolones,219.0016683226101,A: Critically Important,fluoroquinolones,others,136752195587.50722,1.6014490106118389
Middle East,All,3.0,fluoroquinolones,0.729,A: Critically Important,fluoroquinolones,others,2446925465.033676,0.2979248899965848
Africa,Terrestrial Food Producing,6.0,fluoroquinolones,21.7742,A: Critically Important,fluoroquinolones,others,81776881551.43832,0.2662635158850347
Americas,Terrestrial Food Producing,11.0,fluoroquinolones,173.17156194999998,A: Critically Important,fluoroquinolones,others,299914043716.64056,0.5774039781665338
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,fluoroquinolones,474.69859099,A: Critically Important,fluoroquinolones,others,227493629165.94614,2.086645646870969
Europe,Terrestrial Food Producing,10.0,fluoroquinolones,4.3627758624999995,A: Critically Important,fluoroquinolones,others,133355079235.00725,0.03271548326113341
Middle East,Terrestrial Food Producing,1.0,fluoroquinolones,0.16,A: Critically Important,fluoroquinolones,others,2421760815.033676,0.0660676310421577
Africa,AGP,1.0,glycopeptides,0.0,A: Critically Important,other_critically_important,others,,
Americas,AGP,5.0,glycopeptides,0.0,A: Critically Important,other_critically_important,others,,
"Asia, Far East and Oceania",AGP,6.0,glycopeptides,0.0,A: Critically Important,other_critically_important,others,,
Europe,AGP,0.0,glycopeptides,0.0,A: Critically Important,other_critically_important,others,,
Middle East,AGP,0.0,glycopeptides,0.0,A: Critically Important,other_critically_important,others,,
Africa,All,24.0,glycopeptides,1.0,A: Critically Important,other_critically_important,others,82210550037.93834,0.012163888935647824
Americas,All,19.0,glycopeptides,0.0,A: Critically Important,other_critically_important,others,307414936043.14056,0.0
"Asia, Far East and Oceania",All,22.0,glycopeptides,0.0,A: Critically Important,other_critically_important,others,282812613977.946,0.0
Europe,All,41.0,glycopeptides,0.503,A: Critically Important,other_critically_important,others,136752195587.50722,0.0036781859175206598
Middle East,All,3.0,glycopeptides,0.345,A: Critically Important,other_critically_important,others,2446925465.033676,0.1409932606979722
Africa,Terrestrial Food Producing,6.0,glycopeptides,0.0,A: Critically Important,other_critically_important,others,81776881551.43832,0.0
Americas,Terrestrial Food Producing,11.0,glycopeptides,0.0,A: Critically Important,other_critically_important,others,299914043716.64056,0.0
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,glycopeptides,0.0,A: Critically Important,other_critically_important,others,227493629165.94614,0.0
Europe,Terrestrial Food Producing,10.0,glycopeptides,0.0,A: Critically Important,other_critically_important,others,133355079235.00725,0.0
