,partner,partner_label,reporter,reporter_label,year,export_total_100kg,export_total_head,export_total_value_in_euros,export_live_gallusdom_gt185g_100kg,export_live_gallusdom_gt185g_head,export_live_gallusdom_gt185g_value_in_euros,export_live_gallusdom_lte185g_100kg,export_live_gallusdom_lte185g_head,export_live_gallusdom_lte185g_value_in_euros,import_total_100kg,import_total_head,import_total_value_in_euros,import_live_gallusdom_gt185g_100kg,import_live_gallusdom_gt185g_head,import_live_gallusdom_gt185g_value_in_euros,import_live_gallusdom_lte185g_100kg,import_live_gallusdom_lte185g_head,import_live_gallusdom_lte185g_value_in_euros
511,ES,Spain (incl. Canary Islands 'XB' from 1997),GR,Greece,2016,6756542.95,,703902587.0,,,,,,,9611520.08,,1633971544.0,,,,,,
2,DE,Germany (incl. German Democratic Republic 'DD' from 1991),AT,Austria,2013,182477907.04,0.0,39077490869.0,3615.51,233622.0,1099356.0,4622.47,5824373.0,2444301.0,278969806.04,0.0,56869977006.0,146498.61,7717838.0,16896441.0,920.73,1846268.0,555977.0
3376,PL,Poland,RO,Romania,2021,,,,,,,,,,,,,,,,,,
1253,EU_INTRA,"Intra-EU (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004, QR-01/1993, QV-01/1993, QY-01/1988)",LT,Lithuania,2021,185264085.11,,19931919692.0,79999.19,2861880.0,5938291.0,438.18,884331.0,338809.0,124966187.83,,25463476247.0,22123.38,1170430.0,4050939.0,797.0,1358172.0,783354.0
767,EU_EXTRA,Extra-EU (= 'WORLD' - 'EU_INTRA'),EE,Estonia,2019,42245057.38,,4222510096.0,,,,,,,55988694.21,,3526536769.0,,,,,,
3586,WORLD,All countries of the world,HR,Croatia,2011,141129050.26,0.0,9582160835.0,13850.34,686611.0,681152.0,1037.33,2333260.0,592777.0,160697554.09,0.0,16281146520.0,2486.66,155568.0,751494.0,130.95,279275.0,175815.0
390,ES,Spain (incl. Canary Islands 'XB' from 1997),CZ,Czechia,2016,5921766.87,,4091711250.0,,,,,,,7757339.28,,2112778061.0,,,,,,
2616,IT,Italy (incl. San Marino 'SM' -> 1993),LT,Lithuania,2020,5540656.46,,617117351.0,,,,,,,2716263.01,,1513305338.0,,,,,,
3649,WORLD,All countries of the world,LU,Luxembourg,2019,81094608.87,,14673098473.0,1722.96,48410.0,166379.0,2.8,3200.0,3136.0,198862649.85,,21657598157.0,4311.3,61814.0,344898.0,,,
579,ES,Spain (incl. Canary Islands 'XB' from 1997),LU,Luxembourg,2018,1257817.41,,341493299.0,,,,,,,757909.4,,201039915.0,,,,,,
591,ES,Spain (incl. Canary Islands 'XB' from 1997),LV,Latvia,2019,4055703.11,,178585849.0,,,,,,,1190096.21,,307678320.0,,,,,,
1653,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",PT,Portugal,2014,26971671.92,0.0,5658613493.0,,,,,,,27042469.2,0.0,4180779167.0,92.05,18977.0,22307.0,5.39,13234.0,8670.0
3284,PL,Poland,IT,Italy (incl. San Marino 'SM' -> 1993),2017,36452498.77,,12650332791.0,,,,12.0,20000.0,9600.0,33575537.16,,9890734772.0,,,,,,
2422,IT,Italy (incl. San Marino 'SM' -> 1993),CY,Cyprus,2013,168989.9,0.0,29200916.0,,,,,,,2033513.62,0.0,337492121.0,,,,,,
3532,WORLD,All countries of the world,EU28,"European Union - 28 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",2012,,,,,,,,,,,,,,,,,,
