,geo,time_period,breedingsows_gte50kg_dec_thsdhd,breedingsows_gte50kg_jun_thsdhd,pigs_20to50kg_dec_thsdhd,pigs_20to50kg_jun_thsdhd,pigs_50to80kg_dec_thsdhd,pigs_50to80kg_jun_thsdhd,pigs_80to110kg_dec_thsdhd,pigs_80to110kg_jun_thsdhd,pigs_gte110kg_dec_thsdhd,pigs_gte110kg_jun_thsdhd,pigs_lt20kg_dec_thsdhd,pigs_lt20kg_jun_thsdhd,sl_pigmeat_thsdhd,sl_pigmeat_thsdtonne,_merge_slaughter,piglets_live_priceper100kg_euros,pigs_grade1_carcass_priceper100kg_euros,pigs_grade2_carcass_priceper100kg_euros,pigs_light_live_priceper100kg_euros,_merge_prodprice,electricity_priceper100kwh_euros,dieseloil_priceper100litres_euros,heatingoil_priceper100litres_euros,motorspirit_priceper100litres_euros,residualfueloil_priceper100kg_euros,feed_bulk_fatteningpigs_priceper100kg_euros,feed_sacks_fatteningpigs_priceper100kg_euros,feed_bulk_rearingpigs_priceper100kg_euros,feed_sacks_rearingpigs_priceper100kg_euros,feed_bulk_sows_priceper100kg_euros,feed_sacks_sows_priceper100kg_euros,_merge_costofprod
175,EU28,2011,13258.54,,34454.02,,28061.65,,24353.5,,8108.52,,41337.97,,253917.23,22697.2,both,,,,,left_only,,,,,,,,,,,,left_only
230,IE,2013,144.33,146.51,380.63,399.54,273.42,303.87,228.46,238.47,13.57,13.92,427.21,448.76,2903.68,239.31,both,,,,,left_only,,,,,,,39.67,,,,36.09,both
22,BA,2015,97.0,,101.0,,68.0,,68.0,,45.0,,180.0,,122.24,8.53,both,,,,,left_only,,,,,,,,,,,,left_only
393,SI,2018,18.65,,52.98,,36.25,,37.15,,55.39,,58.01,,249.82,22.31,both,178.92,,,210.48,both,11.55,104.9,79.1,108.4,,,30.38,,52.88,,34.28,both
4,AL,2018,12.12,,42.04,,35.13,,33.33,,16.81,,38.83,,99.77,4.91,both,,,,,left_only,,,,,,,,,,,,left_only
395,SI,2020,15.65,,43.96,,30.77,,32.98,,54.99,,50.45,,245.5,22.77,both,191.41,,,186.76,both,11.82,87.2,68.1,87.6,,,30.88,,52.84,,35.09,both
419,XK,2016,11.47,,5.63,,2.68,,2.34,,3.43,,15.24,,,0.0,both,,,,,left_only,,,,,,,,,,,,left_only
354,RO,2012,398.7,360.3,1104.8,1703.4,895.6,1194.5,1126.4,425.1,902.6,60.5,799.0,839.0,3473.58,282.09,both,212.14,194.87,183.66,138.59,both,,98.36,60.96,130.5,52.49,30.5,36.1,41.04,47.32,29.6,37.0,both
132,ES,2017,2454.33,2516.0,7058.28,6673.01,4943.37,5111.71,5569.84,5343.85,1549.19,774.94,8364.93,8215.69,50072.76,4298.79,both,241.2,,185.12,125.99,both,,61.24,,,,,26.04,,35.53,,25.96,both
18,BA,2011,103.0,,108.0,,73.0,,79.0,,41.0,,167.0,,,,left_only,,,,,left_only,,,,,,,,,,,,left_only
367,RS,2014,464.0,519.0,715.0,738.0,450.0,514.0,312.0,272.0,280.0,112.0,953.0,1276.0,2031.43,150.52,both,,,,,left_only,,,,,,,,,,,,left_only
97,DK,2015,1237.0,1248.0,3884.0,3851.0,2518.0,2392.0,629.0,598.0,7.0,6.0,4416.0,4539.0,18716.9,1598.7,both,194.27,129.92,106.99,89.29,both,11.72,70.07,74.13,,,23.32,,32.56,,23.2,,both
276,LU,2017,6.57,,25.6,,19.28,,12.8,,8.22,,18.41,,152.84,12.77,both,179.9,171.0,163.0,,both,14.82,46.26,47.26,,,23.93,,37.4,,28.45,,both
254,IT,2017,561.64,579.49,1623.78,1595.51,1254.45,1330.9,1464.16,1586.59,2252.52,2287.79,1385.18,1368.92,11380.55,1466.95,both,,,,261.67,both,,,,,,,,,,,,left_only
436,TR,2020,,,,,,,,,,,,,0.17,0.0,right_only,,,,,left_only,,,,,,,,,,,,left_only
183,EU28,2019,11818.36,,31922.03,,27462.47,,24287.32,,9498.73,,42743.4,,256156.53,23728.05,both,,,,,left_only,,,,,,,,,,,,left_only
41,BG,2013,55.39,,145.36,,86.44,,144.85,,50.93,,100.48,,797.14,52.06,both,230.71,,,132.09,both,9.82,133.45,130.89,131.4,,25.81,34.67,44.1,49.9,27.81,48.24,both
73,CZ,2013,151.31,,345.9,,312.05,,230.53,,53.74,,451.89,,2651.69,234.27,both,227.37,167.78,145.46,128.68,both,11.1,139.1,67.01,139.26,,,27.63,,27.34,,24.69,both
396,SI,2021,14.18,,40.21,,29.9,,34.48,,54.58,,41.85,,,,left_only,,,,,left_only,,,,,,,,,,,,left_only
144,EU15,2018,9936.92,,27742.28,,22550.71,,20874.38,,7120.77,,36324.52,,219886.06,20327.87,both,,,,,left_only,,,,,,,,,,,,left_only
421,XK,2018,10.19,,6.35,,1.97,,3.53,,6.19,,10.84,,0.0,0.0,both,,,,,left_only,,,,,,,,,,,,left_only
222,HU,2016,255.0,269.0,624.0,666.0,556.0,602.0,518.0,554.0,283.0,200.0,668.0,732.0,4675.65,431.76,both,228.61,,,116.97,both,9.25,83.69,83.69,83.94,,21.99,,34.2,,25.54,,both
10,AT,2014,242.27,246.47,762.17,784.76,564.24,534.83,487.0,430.49,115.19,105.63,692.73,696.27,5406.92,525.57,both,219.31,,,129.07,both,17.29,108.17,73.25,,,,,,,,,both
223,HU,2017,250.0,253.0,601.0,661.0,562.0,549.0,491.0,464.0,309.0,171.0,654.0,705.0,4755.69,434.57,both,267.05,,,130.47,both,9.32,91.43,91.43,90.41,,21.2,,32.17,,25.9,,both
