column_name,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max
wahis_deaths_thsdhd_lpai,100.0,0.035339999999999996,0.18053792908523114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054900000000000254,0.18144999999999992,0.31928000000000734,1.733
wahis_deaths_thsdhd_msyn,100.0,1.2539200000000001,6.439760826978494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.140749999999986,28.370050000000127,52.828
wahis_deaths_thsdhd_ndv,100.0,2.4627700000000003,7.69148439503656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.512900000000001,19.159599999999987,34.64428000000008,50.116
wahis_deaths_thsdhd_pul,100.0,7.896100000000001,28.556924579944738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.616100000000091,76.7150999999999,130.39017000000004,132.68399999999997
wahis_deaths_thsdhd_rab,100.0,3e-05,0.0003000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000000000001535e-05,0.003
wahis_deaths_thsdhd_trh,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_deaths_thsdhd_typh,100.0,3.20913,12.634056652880037,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,3.393600000000009,16.443399999999976,77.29684000000006,86.884
wahis_vaccinated_thsdhd_aib,100.0,93.60417,378.90768402303235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0200499999996,1413.5917600000075,2936.4849999999988
wahis_vaccinated_thsdhd_ail,100.0,50.93282,195.28694816268353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0132999999999,881.1745200000021,1259.01
wahis_vaccinated_thsdhd_chla,100.0,0.03152,0.29548715058631025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2294800000000141,2.95
wahis_vaccinated_thsdhd_dvh,100.0,12.457160000000004,48.67123760782316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.76319999999998,244.46478000000045,324.63300000000004
wahis_vaccinated_thsdhd_flua,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_vaccinated_thsdhd_hpai,100.0,23.85255,168.5201710509394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.3691600000051,1571.7730000000001
wahis_vaccinated_thsdhd_ibd,100.0,55.50457,201.53505083938472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.926600000000676,437.0437499999999,1023.6114200000006,1188.3890000000001
wahis_vaccinated_thsdhd_lpai,100.0,0.89455,7.297614742973797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.250460000000308,71.993
wahis_vaccinated_thsdhd_msyn,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_vaccinated_thsdhd_ndv,100.0,102.97509,440.203972990737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.062800000000934,565.6051499999995,2162.644070000006,3423.02
wahis_vaccinated_thsdhd_pul,100.0,23.389850000000003,82.8994801997051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.01744999999988,399.10348000000016,419.64400000000006
wahis_vaccinated_thsdhd_rab,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_vaccinated_thsdhd_trh,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_vaccinated_thsdhd_typh,100.0,2.38052,10.50299015382351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.952549999999983,43.40964000000022,87.33000000000001
wahis_new_outbreaks_anydisease,100.0,0.96,5.100841681388072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.340000000000174,47.0
wahis_susceptible_thsdhd_anydisease,100.0,3470.270769999999,9795.113379658125,0.0,0.0,0.0038500000000000006,5.820200000000001,56.93825,226.1515,1042.283,11292.668600000003,25091.605599999995,29986.81815000023,73671.57300000003
wahis_cases_thsdhd_anydisease,100.0,587.6050600000001,1622.7331382805417,0.0,0.0,0.0,0.004700000000000002,0.5727500000000001,24.128,391.96324999999996,2283.6408,2469.2422999999976,4575.218500000047,13747.123000000001
wahis_killed_and_disposed_of_thsdhd_anydisease,100.0,423.7092299999999,1655.2242207639829,0.0,0.0,0.0,0.0,9.66975,73.441,259.96274999999997,891.3818000000003,1213.106299999998,3049.0243100000675,16070.426
wahis_slaughtered_thsdhd_anydisease,100.0,66.85850000000002,300.0170441674599,0.0,0.0,0.0,0.0,0.0,0.0,2.9817500000000003,70.61160000000012,160.11959999999988,1368.216940000005,2386.822
wahis_deaths_thsdhd_anydisease,100.0,42.020330000000016,80.9910609786386,0.0,0.0,0.0,0.0,0.12424999999999999,5.159,39.86800000000001,121.59570000000006,248.47709999999995,333.54574000000036,413.116
wahis_vaccinated_thsdhd_anydisease,100.0,366.02279999999996,1122.7079821644147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.7860000000014,2764.3760999999977,4950.0918300000085,6587.732999999998
