,country,year,producerprice_chickens_carcass_index,producerprice_pigs_carcass_index,producerprice_chickens_live_index,producerprice_pigs_live_index,producerprice_chickens_carcass_lcupertonne,producerprice_pigs_carcass_lcupertonne,producerprice_chickens_live_lcupertonne,producerprice_pigs_live_lcupertonne,producerprice_chickens_carcass_slcpertonne,producerprice_pigs_carcass_slcpertonne,producerprice_chickens_live_slcpertonne,producerprice_pigs_live_slcpertonne,producerprice_chickens_carcass_usdpertonne,producerprice_pigs_carcass_usdpertonne,producerprice_chickens_live_usdpertonne,producerprice_pigs_live_usdpertonne,country_inscope
724,Latvia,2011,91.0,103.0,93.0,108.0,,,804.0,829.0,,,1144.0,1180.0,,,1604.0,1654.0,False
751,Lithuania,2019,94.0,106.0,95.0,113.0,,,847.0,1218.0,,,847.0,1218.0,,,948.0,1363.0,False
836,Mongolia,2019,80.0,137.0,80.0,154.0,,,,5308886.0,,,,5308886.0,,,,1993.0,False
588,Iceland,2016,97.0,100.0,97.0,100.0,477175.0,435400.0,,,477175.0,435400.0,,,3950.0,3604.0,,,False
647,Israel,2020,,,,,,,6566.0,16422.0,,,6566.0,16422.0,,,1907.0,4771.0,False
1132,Saudi Arabia,2017,100.0,,100.0,,,,,,,,,,,,,,False
2,Afghanistan,2013,109.0,,109.0,,,,,,,,,,,,,,False
1247,Sweden,2018,111.0,98.0,113.0,98.0,,,,,,,,,,,,,False
770,Madagascar,2018,112.0,112.0,112.0,126.0,,,,,,,,,,,,,False
510,Ghana,2013,127.0,127.0,127.0,127.0,,,,,,,,,,,,,False
151,Bosnia and Herzegovina,2012,108.0,118.0,108.0,118.0,2051.0,3282.0,,,2051.0,3282.0,,,1347.0,2156.0,,,False
281,"China, mainland",2019,188.0,193.0,160.0,177.0,23113.0,33726.0,21447.0,21118.0,23113.0,33726.0,21447.0,21118.0,3346.0,4882.0,3104.0,3057.0,True
239,Canada,2016,98.0,90.0,98.0,90.0,,,2090.0,1417.0,,,2090.0,1417.0,,,1577.0,1069.0,False
867,Namibia,2013,112.0,72.0,112.0,112.0,,,,,,,,,,,,,False
201,Burundi,2015,101.0,101.0,101.0,101.0,,,,,,,,,,,,,False
1298,Togo,2013,119.0,119.0,119.0,119.0,,,,,,,,,,,,,False
448,Ethiopia,2016,110.0,105.0,117.0,105.0,,,82341.0,,,,82341.0,,,,3789.0,,False
