iso3,year,incomegroup,flag
ROU,2002,LM,
RUS,2002,LM,
RWA,2002,L,
WSM,2002,LM,
SMR,2002,H,
STP,2002,L,
SAU,2002,UM,
SEN,2002,L,
SRB,2002,..,
SYC,2002,UM,
SLE,2002,L,
SGP,2002,H,
SXM,2002,..,
SVK,2002,UM,
SVN,2002,H,
SLB,2002,L,
SOM,2002,L,
ZAF,2002,LM,
SSD,2002,..,
ESP,2002,H,
LKA,2002,LM,
KNA,2002,UM,
LCA,2002,UM,
MAF,2002,..,
VCT,2002,LM,
SDN,2002,L,
SUR,2002,LM,
SWE,2002,H,
CHE,2002,H,
SYR,2002,LM,
TWN,2002,H,
TJK,2002,L,
TZA,2002,L,
THA,2002,LM,
TLS,2002,L,
TGO,2002,L,
TON,2002,LM,
TTO,2002,UM,
TUN,2002,LM,
TUR,2002,LM,
TKM,2002,LM,
TCA,2002,..,
TUV,2002,..,
UGA,2002,L,
UKR,2002,LM,
ARE,2002,H,
GBR,2002,H,
USA,2002,H,
URY,2002,UM,
UZB,2002,L,
VUT,2002,LM,
VEN,2002,UM,
VNM,2002,L,
VIR,2002,H,
PSE,2002,LM,
YEM,2002,L,
ZMB,2002,L,
ZWE,2002,L,
AFG,2003,L,
ALB,2003,LM,
DZA,2003,LM,
ASM,2003,UM,
AND,2003,H,
AGO,2003,L,
ATG,2003,UM,
ARG,2003,UM,
ARM,2003,LM,
ABW,2003,H,
AUS,2003,H,
AUT,2003,H,
AZE,2003,LM,
BHS,2003,H,
BHR,2003,H,
BGD,2003,L,
BRB,2003,UM,
BLR,2003,LM,
BEL,2003,H,
BLZ,2003,UM,
BEN,2003,L,
BMU,2003,H,
BTN,2003,L,
BOL,2003,LM,
BIH,2003,LM,
BWA,2003,UM,
BRA,2003,LM,
VGB,2003,..,
BRN,2003,H,
BGR,2003,LM,
BFA,2003,L,
BDI,2003,L,
CPV,2003,LM,
KHM,2003,L,
CMR,2003,L,
CAN,2003,H,
CYM,2003,H,
CAF,2003,L,
TCD,2003,L,
CHI,2003,H,
CHL,2003,UM,
CHN,2003,LM,
COL,2003,LM,
COM,2003,L,
COD,2003,L,
