Expert,AHLE,Production system,Age class,Cause,min,avg,max
R_1I9HkTnOS6BMsRM,Production loss,Pastoral,Juvenile,Infectious,10,30,40
R_1I9HkTnOS6BMsRM,Production loss,Pastoral,Juvenile,Non-infectious,20,50,60
R_1I9HkTnOS6BMsRM,Production loss,Pastoral,Juvenile,External,10,20,30
R_1I9HkTnOS6BMsRM,Production loss,Pastoral,Sub-adult,Infectious,15,35,55
R_1I9HkTnOS6BMsRM,Production loss,Pastoral,Sub-adult,Non-infectious,35,40,60
R_1I9HkTnOS6BMsRM,Production loss,Pastoral,Sub-adult,External,15,25,45
R_1I9HkTnOS6BMsRM,Production loss,Pastoral,Adult,Infectious,15,35,50
R_1I9HkTnOS6BMsRM,Production loss,Pastoral,Adult,Non-infectious,20,40,60
R_1I9HkTnOS6BMsRM,Production loss,Pastoral,Adult,External,10,25,40
R_1I9HkTnOS6BMsRM,Production loss,Crop livestock mixed,Juvenile,Infectious,20,40,50
R_1I9HkTnOS6BMsRM,Production loss,Crop livestock mixed,Juvenile,Non-infectious,20,40,50
R_1I9HkTnOS6BMsRM,Production loss,Crop livestock mixed,Juvenile,External,10,20,30
R_1I9HkTnOS6BMsRM,Production loss,Crop livestock mixed,Sub-adult,Infectious,15,30,45
R_1I9HkTnOS6BMsRM,Production loss,Crop livestock mixed,Sub-adult,Non-infectious,25,50,65
R_1I9HkTnOS6BMsRM,Production loss,Crop livestock mixed,Sub-adult,External,10,20,30
R_1I9HkTnOS6BMsRM,Production loss,Crop livestock mixed,Adult,Infectious,15,30,45
R_1I9HkTnOS6BMsRM,Production loss,Crop livestock mixed,Adult,Non-infectious,25,55,65
R_1I9HkTnOS6BMsRM,Production loss,Crop livestock mixed,Adult,External,8,15,25
R_1I9HkTnOS6BMsRM,Production loss,Crop livestock mixed,Oxen,Infectious,20,40,55
R_1I9HkTnOS6BMsRM,Production loss,Crop livestock mixed,Oxen,Non-infectious,20,40,60
R_1I9HkTnOS6BMsRM,Production loss,Crop livestock mixed,Oxen,External,10,20,30
R_1I9HkTnOS6BMsRM,Production loss,Dairy,Juvenile,Infectious,10,40,45
R_1I9HkTnOS6BMsRM,Production loss,Dairy,Juvenile,Non-infectious,35,50,80
R_1I9HkTnOS6BMsRM,Production loss,Dairy,Juvenile,External,5,10,20
R_1I9HkTnOS6BMsRM,Production loss,Dairy,Sub-adult,Infectious,25,45,55
R_1I9HkTnOS6BMsRM,Production loss,Dairy,Sub-adult,Non-infectious,25,45,65
R_1I9HkTnOS6BMsRM,Production loss,Dairy,Sub-adult,External,5,10,20
R_1I9HkTnOS6BMsRM,Production loss,Dairy,Adult,Infectious,20,35,50
R_1I9HkTnOS6BMsRM,Production loss,Dairy,Adult,Non-infectious,40,60,80
R_1I9HkTnOS6BMsRM,Production loss,Dairy,Adult,External,2,5,20
R_31yeAXPbVjnl37n,Production loss,Pastoral,Juvenile,Infectious,25,35,38
R_31yeAXPbVjnl37n,Production loss,Pastoral,Juvenile,Non-infectious,45,50,60
R_31yeAXPbVjnl37n,Production loss,Pastoral,Juvenile,External,10,15,20
R_31yeAXPbVjnl37n,Production loss,Pastoral,Sub-adult,Infectious,38,40,45
R_31yeAXPbVjnl37n,Production loss,Pastoral,Sub-adult,Non-infectious,40,45,50
R_31yeAXPbVjnl37n,Production loss,Pastoral,Sub-adult,External,6,15,17
R_31yeAXPbVjnl37n,Production loss,Pastoral,Adult,Infectious,35,40,45
R_31yeAXPbVjnl37n,Production loss,Pastoral,Adult,Non-infectious,45,50,55
R_31yeAXPbVjnl37n,Production loss,Pastoral,Adult,External,5,10,15
R_31yeAXPbVjnl37n,Production loss,Crop livestock mixed,Juvenile,Infectious,45,50,55
R_31yeAXPbVjnl37n,Production loss,Crop livestock mixed,Juvenile,Non-infectious,38,40,50
R_31yeAXPbVjnl37n,Production loss,Crop livestock mixed,Juvenile,External,6,10,12
R_31yeAXPbVjnl37n,Production loss,Crop livestock mixed,Sub-adult,Infectious,30,40,45
R_31yeAXPbVjnl37n,Production loss,Crop livestock mixed,Sub-adult,Non-infectious,45,55,60
R_31yeAXPbVjnl37n,Production loss,Crop livestock mixed,Sub-adult,External,3,5,8
R_31yeAXPbVjnl37n,Production loss,Crop livestock mixed,Adult,Infectious,40,45,65
R_31yeAXPbVjnl37n,Production loss,Crop livestock mixed,Adult,Non-infectious,45,50,55
R_31yeAXPbVjnl37n,Production loss,Crop livestock mixed,Adult,External,3,5,10
R_31yeAXPbVjnl37n,Production loss,Crop livestock mixed,Oxen,Infectious,30,45,50
R_31yeAXPbVjnl37n,Production loss,Crop livestock mixed,Oxen,Non-infectious,45,50,60
R_31yeAXPbVjnl37n,Production loss,Crop livestock mixed,Oxen,External,2,5,8
R_31yeAXPbVjnl37n,Production loss,Dairy,Juvenile,Infectious,40,55,60
R_31yeAXPbVjnl37n,Production loss,Dairy,Juvenile,Non-infectious,35,40,55
R_31yeAXPbVjnl37n,Production loss,Dairy,Juvenile,External,3,5,10
R_31yeAXPbVjnl37n,Production loss,Dairy,Sub-adult,Infectious,35,40,45
R_31yeAXPbVjnl37n,Production loss,Dairy,Sub-adult,Non-infectious,40,45,50
R_31yeAXPbVjnl37n,Production loss,Dairy,Sub-adult,External,10,15,20
R_31yeAXPbVjnl37n,Production loss,Dairy,Adult,Infectious,40,45,50
R_31yeAXPbVjnl37n,Production loss,Dairy,Adult,Non-infectious,48,50,60
R_31yeAXPbVjnl37n,Production loss,Dairy,Adult,External,3,5,10
R_3qvPdvNDWTub7X8,Production loss,Pastoral,Juvenile,Infectious,20,40,50
R_3qvPdvNDWTub7X8,Production loss,Pastoral,Juvenile,Non-infectious,30,45,60
R_3qvPdvNDWTub7X8,Production loss,Pastoral,Juvenile,External,10,15,30
R_3qvPdvNDWTub7X8,Production loss,Pastoral,Sub-adult,Infectious,30,40,60
R_3qvPdvNDWTub7X8,Production loss,Pastoral,Sub-adult,Non-infectious,20,35,50
R_3qvPdvNDWTub7X8,Production loss,Pastoral,Sub-adult,External,10,25,35
R_3qvPdvNDWTub7X8,Production loss,Pastoral,Adult,Infectious,30,40,60
R_3qvPdvNDWTub7X8,Production loss,Pastoral,Adult,Non-infectious,20,25,40
R_3qvPdvNDWTub7X8,Production loss,Pastoral,Adult,External,20,35,50
R_3qvPdvNDWTub7X8,Production loss,Crop livestock mixed,Juvenile,Infectious,35,50,60
R_3qvPdvNDWTub7X8,Production loss,Crop livestock mixed,Juvenile,Non-infectious,30,40,50
R_3qvPdvNDWTub7X8,Production loss,Crop livestock mixed,Juvenile,External,0,10,20
R_3qvPdvNDWTub7X8,Production loss,Crop livestock mixed,Sub-adult,Infectious,40,55,60
R_3qvPdvNDWTub7X8,Production loss,Crop livestock mixed,Sub-adult,Non-infectious,30,40,50
R_3qvPdvNDWTub7X8,Production loss,Crop livestock mixed,Sub-adult,External,0,5,10
R_3qvPdvNDWTub7X8,Production loss,Crop livestock mixed,Adult,Infectious,40,60,70
R_3qvPdvNDWTub7X8,Production loss,Crop livestock mixed,Adult,Non-infectious,20,30,60
R_3qvPdvNDWTub7X8,Production loss,Crop livestock mixed,Adult,External,5,10,20
R_3qvPdvNDWTub7X8,Production loss,Crop livestock mixed,Oxen,Infectious,35,55,70
R_3qvPdvNDWTub7X8,Production loss,Crop livestock mixed,Oxen,Non-infectious,20,40,60
R_3qvPdvNDWTub7X8,Production loss,Crop livestock mixed,Oxen,External,0,5,10
R_3qvPdvNDWTub7X8,Production loss,Dairy,Juvenile,Infectious,30,50,60
R_3qvPdvNDWTub7X8,Production loss,Dairy,Juvenile,Non-infectious,30,40,60
R_3qvPdvNDWTub7X8,Production loss,Dairy,Juvenile,External,5,10,20
R_3qvPdvNDWTub7X8,Production loss,Dairy,Sub-adult,Infectious,40,55,70
R_3qvPdvNDWTub7X8,Production loss,Dairy,Sub-adult,Non-infectious,30,40,60
R_3qvPdvNDWTub7X8,Production loss,Dairy,Sub-adult,External,0,5,15
R_3qvPdvNDWTub7X8,Production loss,Dairy,Adult,Infectious,30,50,60
R_3qvPdvNDWTub7X8,Production loss,Dairy,Adult,Non-infectious,35,45,60
R_3qvPdvNDWTub7X8,Production loss,Dairy,Adult,External,0,5,10
R_1PcNnt3F8hG4Ppa,Production loss,Pastoral,Juvenile,Infectious,20,50,75
R_1PcNnt3F8hG4Ppa,Production loss,Pastoral,Juvenile,Non-infectious,25,35,45
R_1PcNnt3F8hG4Ppa,Production loss,Pastoral,Juvenile,External,5,15,25
R_1PcNnt3F8hG4Ppa,Production loss,Pastoral,Sub-adult,Infectious,20,40,70
R_1PcNnt3F8hG4Ppa,Production loss,Pastoral,Sub-adult,Non-infectious,10,25,40
R_1PcNnt3F8hG4Ppa,Production loss,Pastoral,Sub-adult,External,10,35,50
R_1PcNnt3F8hG4Ppa,Production loss,Pastoral,Adult,Infectious,25,60,75
R_1PcNnt3F8hG4Ppa,Production loss,Pastoral,Adult,Non-infectious,10,30,40
R_1PcNnt3F8hG4Ppa,Production loss,Pastoral,Adult,External,5,10,25
R_1PcNnt3F8hG4Ppa,Production loss,Crop livestock mixed,Juvenile,Infectious,25,50,60
R_1PcNnt3F8hG4Ppa,Production loss,Crop livestock mixed,Juvenile,Non-infectious,20,35,50
R_1PcNnt3F8hG4Ppa,Production loss,Crop livestock mixed,Juvenile,External,5,15,25
R_1PcNnt3F8hG4Ppa,Production loss,Crop livestock mixed,Sub-adult,Infectious,25,60,75
R_1PcNnt3F8hG4Ppa,Production loss,Crop livestock mixed,Sub-adult,Non-infectious,20,30,50
R_1PcNnt3F8hG4Ppa,Production loss,Crop livestock mixed,Sub-adult,External,5,10,25
R_1PcNnt3F8hG4Ppa,Production loss,Crop livestock mixed,Adult,Infectious,20,55,70
R_1PcNnt3F8hG4Ppa,Production loss,Crop livestock mixed,Adult,Non-infectious,10,40,55
R_1PcNnt3F8hG4Ppa,Production loss,Crop livestock mixed,Adult,External,2,5,15
R_1PcNnt3F8hG4Ppa,Production loss,Crop livestock mixed,Oxen,Infectious,25,60,80
R_1PcNnt3F8hG4Ppa,Production loss,Crop livestock mixed,Oxen,Non-infectious,20,30,50
R_1PcNnt3F8hG4Ppa,Production loss,Crop livestock mixed,Oxen,External,5,10,20
R_1PcNnt3F8hG4Ppa,Production loss,Dairy,Juvenile,Infectious,25,55,65
R_1PcNnt3F8hG4Ppa,Production loss,Dairy,Juvenile,Non-infectious,10,35,50
R_1PcNnt3F8hG4Ppa,Production loss,Dairy,Juvenile,External,5,10,20
R_1PcNnt3F8hG4Ppa,Production loss,Dairy,Sub-adult,Infectious,20,40,60
R_1PcNnt3F8hG4Ppa,Production loss,Dairy,Sub-adult,Non-infectious,10,50,70
R_1PcNnt3F8hG4Ppa,Production loss,Dairy,Sub-adult,External,5,10,20
R_1PcNnt3F8hG4Ppa,Production loss,Dairy,Adult,Infectious,20,55,70
R_1PcNnt3F8hG4Ppa,Production loss,Dairy,Adult,Non-infectious,10,35,50
R_1PcNnt3F8hG4Ppa,Production loss,Dairy,Adult,External,5,10,25
R_1k2qSQp8BEKrvj3,Production loss,Pastoral,Juvenile,Infectious,25,45,50
R_1k2qSQp8BEKrvj3,Production loss,Pastoral,Juvenile,Non-infectious,25,30,45
R_1k2qSQp8BEKrvj3,Production loss,Pastoral,Juvenile,External,15,25,35
R_1k2qSQp8BEKrvj3,Production loss,Pastoral,Sub-adult,Infectious,25,40,50
R_1k2qSQp8BEKrvj3,Production loss,Pastoral,Sub-adult,Non-infectious,15,25,30
R_1k2qSQp8BEKrvj3,Production loss,Pastoral,Sub-adult,External,25,35,45
R_1k2qSQp8BEKrvj3,Production loss,Pastoral,Adult,Infectious,20,40,45
R_1k2qSQp8BEKrvj3,Production loss,Pastoral,Adult,Non-infectious,15,30,35
R_1k2qSQp8BEKrvj3,Production loss,Pastoral,Adult,External,15,30,35
R_1k2qSQp8BEKrvj3,Production loss,Crop livestock mixed,Juvenile,Infectious,25,45,50
R_1k2qSQp8BEKrvj3,Production loss,Crop livestock mixed,Juvenile,Non-infectious,15,25,40
R_1k2qSQp8BEKrvj3,Production loss,Crop livestock mixed,Juvenile,External,15,30,35
R_1k2qSQp8BEKrvj3,Production loss,Crop livestock mixed,Sub-adult,Infectious,25,50,60
R_1k2qSQp8BEKrvj3,Production loss,Crop livestock mixed,Sub-adult,Non-infectious,20,30,40
R_1k2qSQp8BEKrvj3,Production loss,Crop livestock mixed,Sub-adult,External,15,20,30
R_1k2qSQp8BEKrvj3,Production loss,Crop livestock mixed,Adult,Infectious,25,45,60
R_1k2qSQp8BEKrvj3,Production loss,Crop livestock mixed,Adult,Non-infectious,20,35,50
R_1k2qSQp8BEKrvj3,Production loss,Crop livestock mixed,Adult,External,15,20,35
R_1k2qSQp8BEKrvj3,Production loss,Crop livestock mixed,Oxen,Infectious,25,40,50
R_1k2qSQp8BEKrvj3,Production loss,Crop livestock mixed,Oxen,Non-infectious,25,40,50
R_1k2qSQp8BEKrvj3,Production loss,Crop livestock mixed,Oxen,External,15,20,30
R_1k2qSQp8BEKrvj3,Production loss,Dairy,Juvenile,Infectious,25,45,55
R_1k2qSQp8BEKrvj3,Production loss,Dairy,Juvenile,Non-infectious,20,35,45
R_1k2qSQp8BEKrvj3,Production loss,Dairy,Juvenile,External,15,20,30
R_1k2qSQp8BEKrvj3,Production loss,Dairy,Sub-adult,Infectious,30,50,60
R_1k2qSQp8BEKrvj3,Production loss,Dairy,Sub-adult,Non-infectious,15,30,40
R_1k2qSQp8BEKrvj3,Production loss,Dairy,Sub-adult,External,15,20,40
R_1k2qSQp8BEKrvj3,Production loss,Dairy,Adult,Infectious,30,45,55
R_1k2qSQp8BEKrvj3,Production loss,Dairy,Adult,Non-infectious,20,40,45
R_1k2qSQp8BEKrvj3,Production loss,Dairy,Adult,External,10,15,35
