species,production_system,group,age_group,sex,mean_current_gross_margin,mean_current_health_cost,mean_mortality_zero_gross_margin,mean_mortality_zero_health_cost,mean_ideal_gross_margin,mean_ideal_health_cost,stdev_current_gross_margin,stdev_current_health_cost,stdev_mortality_zero_gross_margin,stdev_mortality_zero_health_cost,stdev_ideal_gross_margin,stdev_ideal_health_cost,ahle_due_to_mortality_mean,ahle_due_to_healthcost_mean,ahle_due_to_productionloss_mean,ahle_due_to_mortality_stdev,ahle_due_to_healthcost_stdev,ahle_due_to_productionloss_stdev
Sheep,Crop livestock mixed,Neonatal Combined,Neonatal,Overall,21629074899.2903,11054649.425266,26350450746.7533,12607268.5872937,26396996752.1503,12633754.6416416,819667131.180617,288636.520054449,787286825.392214,290402.160541565,812884861.050255,305922.112706236,4721375847.463001,11054649.425266,35491355.97173336,1136518698.2069468,288636.520054449,1619972480.6142876
Sheep,Crop livestock mixed,Neonatal Female,Neonatal,Female,21629074899.2903,11054649.425266,26350450746.7533,12607268.5872937,26396996752.1503,12590328.0214291,819667131.180617,288636.520054449,787286825.392214,290402.160541565,806404672.715804,301255.557215258,4721375847.463001,11054649.425266,35491355.97173336,1136518698.2069468,288636.520054449,1616730508.4029307
Sheep,Crop livestock mixed,Neonatal Male,Neonatal,Male,21629074899.2903,11054649.425266,26350450746.7533,12607268.5872937,26340574993.6836,12633754.6416416,819667131.180617,288636.520054449,787286825.392214,290402.160541565,812884861.050255,305922.112706236,4721375847.463001,11054649.425266,-20930402.49496433,1136518698.2069468,288636.520054449,1619972480.6142876
Sheep,Crop livestock mixed,Overall,Overall,Overall,21629074899.2903,11054649.425266,33124887839.5697,12853732.5702256,58799696835.7538,0.0,819667131.180617,288636.520054449,769305675.945128,310322.845999261,4459027309.37388,0.0,11495812940.2794,11054649.425266,25663754346.758835,1124137637.9159508,288636.520054449,4671023898.886648
Sheep,Crop livestock mixed,Overall Female,Overall,Female,21629074899.2903,11054649.425266,26350450746.7533,12607268.5872937,43481820353.2563,17407917.7053913,819667131.180617,288636.520054449,787286825.392214,290402.160541565,3629418639.50513,1217871.21048576,4721375847.463001,11054649.425266,17120314957.077736,1136518698.2069468,288636.520054449,3890528074.87752
Sheep,Crop livestock mixed,Overall Male,Overall,Male,21629074899.2903,11054649.425266,26350450746.7533,12607268.5872937,26340574993.6836,12633754.6416416,819667131.180617,288636.520054449,787286825.392214,290402.160541565,812884861.050255,305922.112706236,4721375847.463001,11054649.425266,-20930402.49496433,1136518698.2069468,288636.520054449,1619972480.6142876
Sheep,Overall,Adult Combined,Adult,Overall,29579585125.307278,18237106.66204331,33249097545.132957,18410390.22764073,58164211000.4241,27530627.207968697,957787459.9509654,373728.1704670145,968102431.1068377,377950.6879019838,3717639298.6164556,1253280.8005202264,3669512419.82568,18237106.66204331,24896876348.6291,1361829334.2244804,373728.1704670145,4073423381.9091053
Sheep,Overall,Adult Female,Adult,Female,29579585125.307278,18237106.66204331,33249097545.132957,18410390.22764073,58164211000.4241,27530627.207968697,957787459.9509654,373728.1704670145,919194116.693054,376945.2865212322,3717639298.6164556,1253280.8005202264,3669512419.82568,18237106.66204331,24896876348.6291,1327506927.5158024,373728.1704670145,4062077492.531619
Sheep,Overall,Adult Male,Adult,Male,29579585125.307278,18237106.66204331,31585070820.37725,18254160.92075102,36764676646.1684,20003001.74783451,957787459.9509654,373728.1704670145,968102431.1068377,375111.95961331396,1068855909.375779,403228.26669619663,2005485695.069973,18237106.66204331,5161368719.129109,1361829334.2244804,373728.1704670145,1978481500.7156076
Sheep,Overall,Juvenile Combined,Juvenile,Overall,29579585125.307278,18237106.66204331,32614706118.93229,18324120.88381442,37393599792.5996,20031892.9195396,957787459.9509654,373728.1704670145,942535165.9505696,373594.2054716752,1076901071.5140686,409077.71233620157,3035120993.6250114,18237106.66204331,4760656567.005269,1343774295.591633,373728.1704670145,1970482741.216732
Sheep,Overall,Juvenile Female,Juvenile,Female,29579585125.307278,18237106.66204331,32614706118.93229,18324120.88381442,37051377896.7393,19955770.048181072,957787459.9509654,373728.1704670145,942535165.9505696,373594.2054716752,1060041218.902571,404783.89182490535,3035120993.6250114,18237106.66204331,4418434671.144971,1343774295.591633,373728.1704670145,1961319377.709124
Sheep,Overall,Juvenile Male,Juvenile,Male,29579585125.307278,18237106.66204331,32614706118.93229,18324120.88381442,36976591857.473,20031892.9195396,957787459.9509654,373728.1704670145,942535165.9505696,373594.2054716752,1076901071.5140686,407071.69251764455,3035120993.6250114,18237106.66204331,4343648631.878667,1343774295.591633,373728.1704670145,1970482741.216732
Sheep,Overall,Neonatal Combined,Neonatal,Overall,29579585125.307278,18237106.66204331,37087047108.6882,21432861.02248465,39100146584.0668,21568699.014303967,957787459.9509654,373728.1704670145,1010283934.3810236,415108.4388641863,1104525969.120216,417518.2789035299,7507461983.380924,18237106.66204331,1994862368.7165577,1392131619.678155,373728.1704670145,2018753333.391859
Sheep,Overall,Neonatal Female,Neonatal,Female,29579585125.307278,18237106.66204331,37087047108.6882,21432861.02248465,39100146584.0668,21525272.39409147,957787459.9509654,373728.1704670145,1010283934.3810236,415108.4388641863,1099765572.890033,408944.41903707583,7507461983.380924,18237106.66204331,1994862368.7165577,1392131619.678155,373728.1704670145,2016152702.5336976
Sheep,Overall,Neonatal Male,Neonatal,Male,29579585125.307278,18237106.66204331,37087047108.6882,21432861.02248465,38990946020.242905,21567691.60124873,957787459.9509654,373728.1704670145,1010283934.3810236,415108.4388641863,1103622090.2860756,417518.2789035299,7507461983.380924,18237106.66204331,1885661804.8926594,1392131619.678155,373728.1704670145,2018258933.5333555
Sheep,Overall,Overall,Overall,Overall,29579585125.307278,18237106.66204331,45772569040.5252,21761561.05865541,73314653202.9785,0.0,957787459.9509654,373728.1704670145,1028807156.8746883,418688.47939776763,4520664507.009879,0.0,16192983915.217922,18237106.66204331,27523847055.791252,1405631880.8549774,373728.1704670145,4830068894.697761
Sheep,Overall,Overall Female,Overall,Female,29579585125.307278,18237106.66204331,37087047108.6882,21432861.02248465,58164211000.4241,27530627.207968697,957787459.9509654,373728.1704670145,1010283934.3810236,415108.4388641863,3717639298.6164556,1253280.8005202264,7507461983.380924,18237106.66204331,21058926785.073856,1392131619.678155,373728.1704670145,4083653922.5597024
Sheep,Overall,Overall Male,Overall,Male,29579585125.307278,18237106.66204331,37087047108.6882,21432861.02248465,39246614121.8347,21580835.4946573,957787459.9509654,373728.1704670145,1010283934.3810236,415108.4388641863,1106318959.7476943,422871.25014247006,7507461983.380924,18237106.66204331,2141329906.4844563,1392131619.678155,373728.1704670145,2019734894.8109527
Sheep,Pastoral,Adult Combined,Adult,Overall,7950510226.01698,7182457.23677731,8722554866.08436,7245610.57774113,14682390647.1678,10122709.5025774,495482202.002715,237406.201880826,573715351.344554,246489.958382229,805085271.154667,295808.180452417,772044640.06738,7182457.23677731,5952653323.846663,758057990.439956,237406.201880826,1211741259.33023
Sheep,Pastoral,Adult Female,Adult,Female,7950510226.01698,7182457.23677731,8722554866.08436,7245610.57774113,14682390647.1678,10122709.5025774,495482202.002715,237406.201880826,553941138.081493,244945.557478114,805085271.154667,295808.180452417,772044640.06738,7182457.23677731,5952653323.846663,743204814.9470501,237406.201880826,1202505035.1885545
Sheep,Pastoral,Adult Male,Adult,Male,7950510226.01698,7182457.23677731,8551460282.16785,7205320.45425782,12329531631.3743,8940634.17875921,495482202.002715,237406.201880826,573715351.344554,246489.958382229,741919233.082896,291944.781002176,600950056.1508694,7182457.23677731,3770888891.969673,758057990.439956,237406.201880826,1170725729.6870778
Sheep,Pastoral,Juvenile Combined,Juvenile,Overall,7950510226.01698,7182457.23677731,8543868378.79939,7227472.26998662,12906039128.1511,8947080.8530157,495482202.002715,237406.201880826,533041344.289001,239551.717919884,750439766.65188,292697.841062047,593358152.7824097,7182457.23677731,4354988292.114933,727760734.8729969,237406.201880826,1156848390.8700294
Sheep,Pastoral,Juvenile Female,Juvenile,Female,7950510226.01698,7182457.23677731,8543868378.79939,7227472.26998662,12563817232.2908,8908322.86022687,495482202.002715,237406.201880826,533041344.289001,239551.717919884,735431114.324282,292697.841062047,593358152.7824097,7182457.23677731,4012766396.254633,727760734.8729969,237406.201880826,1147169246.450716
Sheep,Pastoral,Juvenile Male,Juvenile,Male,7950510226.01698,7182457.23677731,8543868378.79939,7227472.26998662,12906039128.1511,8947080.8530157,495482202.002715,237406.201880826,533041344.289001,239551.717919884,750439766.65188,289887.58904331,593358152.7824097,7182457.23677731,4354988292.114933,727760734.8729969,237406.201880826,1156848390.8700294
Sheep,Pastoral,Neonatal Combined,Neonatal,Overall,7950510226.01698,7182457.23677731,10736596361.9349,8825592.43519095,12703149831.9165,8934944.37266237,495482202.002715,237406.201880826,633129593.868625,296616.926639484,747793968.373816,284135.837542396,2786086135.91792,7182457.23677731,1959371012.7448225,803962496.0989842,237406.201880826,1204597104.0697105
Sheep,Pastoral,Neonatal Female,Neonatal,Female,7950510226.01698,7182457.23677731,10736596361.9349,8825592.43519095,12703149831.9165,8934944.37266237,495482202.002715,237406.201880826,633129593.868625,296616.926639484,747793968.373816,276551.310082769,2786086135.91792,7182457.23677731,1959371012.7448225,803962496.0989842,237406.201880826,1204597104.0697105
Sheep,Pastoral,Neonatal Male,Neonatal,Male,7950510226.01698,7182457.23677731,10736596361.9349,8825592.43519095,12650371026.5593,8933936.95960713,495482202.002715,237406.201880826,633129593.868625,296616.926639484,746458251.238952,284135.837542396,2786086135.91792,7182457.23677731,1906592207.3876219,803962496.0989842,237406.201880826,1203768368.4328923
Sheep,Pastoral,Overall,Overall,Overall,7950510226.01698,7182457.23677731,12647681200.9555,8907828.48842981,14514956367.2247,0.0,495482202.002715,237406.201880826,683090728.231023,281068.984470599,743964407.210994,0.0,4697170974.9385195,7182457.23677731,1860092709.032424,843869394.8097943,237406.201880826,1229268588.8594966
Sheep,Pastoral,Overall Female,Overall,Female,7950510226.01698,7182457.23677731,10736596361.9349,8825592.43519095,14682390647.1678,10122709.5025774,495482202.002715,237406.201880826,633129593.868625,296616.926639484,805085271.154667,295808.180452417,2786086135.91792,7182457.23677731,3938611827.9961233,803962496.0989842,237406.201880826,1240975687.846888
Sheep,Pastoral,Overall Male,Overall,Male,7950510226.01698,7182457.23677731,10736596361.9349,8825592.43519095,12906039128.1511,8947080.8530157,495482202.002715,237406.201880826,633129593.868625,296616.926639484,750439766.65188,291944.781002176,2786086135.91792,7182457.23677731,2162260308.9794226,803962496.0989842,237406.201880826,1206241355.3553042
