Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2009,2009,2009,6,1,1,Import,516,Namibia,NAM,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,420,,,,500,,34920,,,2
H3,2009,2009,2009,6,1,2,Export,516,Namibia,NAM,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",1,No Quantity,,,,,26000,,26320,,,0
H3,2009,2009,2009,6,1,1,Import,524,Nepal,NPL,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,434,,,,1567,,4530,,,4
H3,2009,2009,2009,6,1,1,Import,528,Netherlands,NLD,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,394007,,,,11339501,,32787891,,,6
H3,2009,2009,2009,6,1,2,Export,528,Netherlands,NLD,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",1,No Quantity,,,,,139735488,,369269872,,,4
H3,2009,2009,2009,6,1,1,Import,616,Poland,POL,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,1469767,,,,39163253,,103809867,,,0
H3,2009,2009,2009,6,1,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,26694,,,,704538,,3334111,,,0
H3,2009,2009,2009,6,1,1,Import,620,Portugal,PRT,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,245224,,,,3252279,,9854906,,,0
H3,2009,2009,2009,6,1,2,Export,620,Portugal,PRT,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,43235,,,,1052468,,3303940,,,0
H3,2009,2009,2009,6,1,1,Import,642,Romania,ROU,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,861155,,,,21996793,,76692492,,,0
H3,2009,2009,2009,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,149772,,,,3725678,,14171140,,,0
H3,2009,2009,2009,6,1,1,Import,688,Serbia,SRB,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,35,,,,2000,,2947,,,2
H3,2009,2009,2009,6,1,2,Export,688,Serbia,SRB,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",1,No Quantity,,,,,661592,,981606,,,0
H3,2009,2009,2009,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,477,,,,3935,,10398,,,4
H3,2009,2009,2009,6,1,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,252332,,,,3510414,,8884718,,,6
H3,2009,2009,2009,6,1,2,Export,703,Slovakia,SVK,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",1,No Quantity,,,,,3057762,,8059810,,,4
H3,2009,2009,2009,6,1,1,Import,705,Slovenia,SVN,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,54203,,,,1530481,,4589605,,,0
H3,2009,2009,2009,6,1,2,Export,705,Slovenia,SVN,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,5460,,,,124020,,395214,,,0
H3,2009,2009,2009,6,1,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,194,,,,26296,,69492,,,4
H3,2009,2009,2009,6,1,1,Import,716,Zimbabwe,ZWE,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",1,No Quantity,0,,,,2100,,54427,,,2
H3,2009,2009,2009,6,1,1,Import,724,Spain,ESP,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,277132,,,,5866073,,19453405,,,0
H3,2009,2009,2009,6,1,2,Export,724,Spain,ESP,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,209579,,,,3837011,,10536044,,,0
H3,2009,2009,2009,6,1,2,Export,736,Fmr Sudan,SDN,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",8,Weight in kilograms,70,,,,70,,47,,,0
H3,2009,2009,2009,6,1,3,Re-Export,736,Fmr Sudan,SDN,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",8,Weight in kilograms,70,,,,70,,47,,,0
H3,2009,2009,2009,6,1,1,Import,748,Eswatini,SWZ,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",1,No Quantity,0,,,,2496,,7619,,,4
H3,2009,2009,2009,6,1,2,Export,748,Eswatini,SWZ,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",1,No Quantity,0,,,,500,,2602,,,0
H3,2009,2009,2009,6,1,1,Import,752,Sweden,SWE,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,10,,,,3280,,9484,,,4
H3,2009,2009,2009,6,1,1,Import,757,Switzerland,CHE,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,48,,,,2160,,95684,,,0
H3,2009,2009,2009,6,1,2,Export,764,Thailand,THA,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,93813,,,,1568303,,4144452,,,4
H3,2009,2009,2009,6,1,2,Export,818,Egypt,EGY,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,16,,,,692,,1829,,,4
H3,2009,2009,2009,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,69769,,,,1509368,,6522043,,,0
H3,2009,2009,2009,6,1,1,Import,842,USA,USA,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,5221439,,,,62475125,,158281228,,,0
H3,2009,2009,2009,6,1,2,Export,842,USA,USA,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,6974,,,,147602,,390058,,,4
H3,2009,2009,2009,6,1,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,131882,,,,4367254,,7571008,,,0
H3,2009,2009,2009,6,1,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,29,,,,2668,,6145,,,2
H3,2009,2009,2009,6,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,671,,,,66963,,410399,,,0
H3,2009,2009,2009,6,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,91,,,,8097,,116189,,,0
H3,2009,2009,2009,6,1,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,454324,,,,43116500,,82605630,,,0
H3,2009,2009,2009,6,1,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,9885,,,,940600,,2022763,,,0
H3,2009,2009,2009,6,1,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,267,,,,5232,,10000,,,4
H3,2009,2009,2009,6,1,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,113,,,,11880,,46957,,,0
H3,2009,2009,2009,6,1,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,414647,,,,46434111,,88749667,,,6
H3,2009,2009,2009,6,1,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,593613,,,,67398243,,122754309,,,6
H3,2009,2009,2009,6,1,2,Export,64,Bhutan,BTN,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,9,,,,511,,930,,,4
H3,2009,2009,2009,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,325,,,,3440,,69611,,,2
H3,2009,2009,2009,6,1,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,25128,,,,3466356,,5378404,,,2
H3,2009,2009,2009,6,1,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,671,,,,66963,,398430,,,0
H3,2009,2009,2009,6,1,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,4578,,,,403144,,628732,,,0
H3,2009,2009,2009,6,1,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,45,,,,5415,,39200,,,0
H3,2009,2009,2009,6,1,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,3450,,,,355915,,729700,,,0
H3,2009,2009,2009,6,1,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,850,,,,240254,,459199,,,4
H3,2009,2009,2009,6,1,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,1142671,,,,78538132,,143043700,,,4
H3,2009,2009,2009,6,1,2,Export,156,China,CHN,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,1574577,,,,161076592,,325609758,,,2
H3,2009,2009,2009,6,1,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,6,,,,360,,1387,,,2
H3,2009,2009,2009,6,1,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,7296,,,,819056,,1636897,,,0
H3,2009,2009,2009,6,1,2,Export,191,Croatia,HRV,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,13770,,,,1487890,,3364571,,,0
H3,2009,2009,2009,6,1,2,Export,196,Cyprus,CYP,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,309,,,,26243,,47797,,,4
H3,2009,2009,2009,6,1,1,Import,203,Czechia,CZE,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,168163,,,,17518691,,32530096,,,0
H3,2009,2009,2009,6,1,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,80925,,,,9227189,,14801201,,,0
H3,2009,2009,2009,6,1,2,Export,208,Denmark,DNK,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,1352969,,,,140155078,,271902163,,,0
H3,2009,2009,2009,6,1,1,Import,218,Ecuador,ECU,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,4732,,,,679493,,1012824,,,2
H3,2009,2009,2009,6,1,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,2574,,,,268230,,556844,,,0
H3,2009,2009,2009,6,1,2,Export,233,Estonia,EST,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,169368,,,,18537552,,33189536,,,0
H3,2009,2009,2009,6,1,2,Export,246,Finland,FIN,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,1558,,,,175420,,305885,,,0
H3,2009,2009,2009,6,1,1,Import,251,France,FRA,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,118174,,,,10667635,,20389085,,,4
H3,2009,2009,2009,6,1,2,Export,251,France,FRA,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,812289,,,,81551125,,148531350,,,4
H3,2009,2009,2009,6,1,1,Import,268,Georgia,GEO,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,19,,,,1000,,6343,,,0
H3,2009,2009,2009,6,1,1,Import,276,Germany,DEU,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,5051761,,,,517261950,,910255903,,,0
H3,2009,2009,2009,6,1,2,Export,276,Germany,DEU,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,1192348,,,,127280918,,226178537,,,0
H3,2009,2009,2009,6,1,1,Import,300,Greece,GRC,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,1185,,,,234779,,712239,,,0
H3,2009,2009,2009,6,1,2,Export,300,Greece,GRC,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,39947,,,,3193460,,5244717,,,0
H3,2009,2009,2009,6,1,1,Import,340,Honduras,HND,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,14,,,,2500,,3100,,,2
H3,2009,2009,2009,6,1,1,Import,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,1572491,,,,172130122,,328992861,,,4
H3,2009,2009,2009,6,1,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",5,Number of items,419961,,,,56423700,,89887000,,,2
