Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Pigs,Offal,Pneumonia – Mild,2019-06,Wales,309,2337,11,13.222
Pigs,Offal,Pneumonia – Severe,2019-04,England,11734,533604,98,2.199
Pigs,Offal,Pneumonia – Severe,2019-05,England,11649,589233,98,1.977
Pigs,Offal,Pneumonia – Severe,2019-06,England,12173,511153,97,2.381
Pigs,Offal,Pneumonia – Severe,2019-04,Wales,70,2335,10,2.998
Pigs,Offal,Pneumonia – Severe,2019-05,Wales,53,1971,10,2.689
Pigs,Offal,Pneumonia – Severe,2019-06,Wales,64,2337,11,2.739
Pigs,Total Rejection,Anaemia,2019-04,England,133,533604,98,0.025
Pigs,Total Rejection,Anaemia,2019-05,England,102,589233,98,0.017
Pigs,Total Rejection,Anaemia,2019-06,England,116,511153,97,0.023
Pigs,Total Rejection,Badly Bled,2019-04,England,5,533604,98,0.001
Pigs,Total Rejection,Badly Bled,2019-05,England,9,589233,98,0.002
Pigs,Total Rejection,Badly Bled,2019-06,England,12,511153,97,0.002
Pigs,Total Rejection,Contamination,2019-04,England,70,533604,98,0.013
Pigs,Total Rejection,Contamination,2019-05,England,92,589233,98,0.016
Pigs,Total Rejection,Contamination,2019-06,England,37,511153,97,0.007
Pigs,Total Rejection,Cysticercosis,2019-05,England,3,589233,98,0.001
Pigs,Total Rejection,Cysticercosis,2019-06,England,1,511153,97,0
Pigs,Total Rejection,Emaciation/Generalised Oedema,2019-04,England,90,533604,98,0.017
Pigs,Total Rejection,Emaciation/Generalised Oedema,2019-05,England,83,589233,98,0.014
Pigs,Total Rejection,Emaciation/Generalised Oedema,2019-06,England,83,511153,97,0.016
Pigs,Total Rejection,Fever/Septicaemia/Toxaemia,2019-04,England,48,533604,98,0.009
Pigs,Total Rejection,Fever/Septicaemia/Toxaemia,2019-05,England,50,589233,98,0.008
Pigs,Total Rejection,Fever/Septicaemia/Toxaemia,2019-06,England,55,511153,97,0.011
Pigs,Total Rejection,Fever/Septicaemia/Toxaemia,2019-04,Wales,1,2335,10,0.043
Pigs,Total Rejection,Jaundice,2019-04,England,48,533604,98,0.009
Pigs,Total Rejection,Jaundice,2019-05,England,58,589233,98,0.01
Pigs,Total Rejection,Jaundice,2019-06,England,53,511153,97,0.01
Pigs,Total Rejection,Jaundice,2019-06,Wales,1,2337,11,0.043
Pigs,Total Rejection,Other,2019-04,England,58,533604,98,0.011
Pigs,Total Rejection,Other,2019-05,England,223,589233,98,0.038
Pigs,Total Rejection,Other,2019-06,England,92,511153,97,0.018
Pigs,Total Rejection,Other,2019-06,Wales,2,2337,11,0.086
Pigs,Total Rejection,Polyarthritis,2019-04,England,179,533604,98,0.034
Pigs,Total Rejection,Polyarthritis,2019-05,England,153,589233,98,0.026
Pigs,Total Rejection,Polyarthritis,2019-06,England,119,511153,97,0.023
Pigs,Total Rejection,Processing Fault,2019-04,England,290,533604,98,0.054
Pigs,Total Rejection,Processing Fault,2019-05,England,207,589233,98,0.035
Pigs,Total Rejection,Processing Fault,2019-06,England,263,511153,97,0.051
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2019-04,England,671,533604,98,0.126
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2019-05,England,601,589233,98,0.102
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2019-06,England,590,511153,97,0.115
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2019-04,Wales,9,2335,10,0.385
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2019-05,Wales,3,1971,10,0.152
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2019-06,Wales,2,2337,11,0.086
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2019-04,England,423,533604,98,0.079
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2019-05,England,445,589233,98,0.076
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2019-06,England,391,511153,97,0.076
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2019-04,Wales,1,2335,10,0.043
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2019-06,Wales,3,2337,11,0.128
Pigs,Total Rejection,Septic Peritonitis & Pleurisy,2019-04,England,282,533604,98,0.053
Pigs,Total Rejection,Septic Peritonitis & Pleurisy,2019-05,England,291,589233,98,0.049
Pigs,Total Rejection,Septic Peritonitis & Pleurisy,2019-06,England,227,511153,97,0.044
Pigs,Total Rejection,Septic Pleurisy,2019-04,England,47,533604,98,0.009
Pigs,Total Rejection,Septic Pleurisy,2019-05,England,51,589233,98,0.009
Pigs,Total Rejection,Septic Pleurisy,2019-06,England,59,511153,97,0.012
Wild Boar,Carcases,Contamination,2019-04,England,1,10,1,10
Wild Boar,Carcases,Other,2019-04,England,10,10,1,100
