Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Pigs,Total Rejection,Jaundice,2018-08,England,10,449375,98,0.002
Pigs,Total Rejection,Jaundice,2018-09,England,14,384442,98,0.004
Pigs,Total Rejection,Other,2018-07,England,24,320195,98,0.007
Pigs,Total Rejection,Other,2018-08,England,85,449375,98,0.019
Pigs,Total Rejection,Other,2018-09,England,14,384442,98,0.004
Pigs,Total Rejection,Polyarthritis,2018-07,England,68,320195,98,0.021
Pigs,Total Rejection,Polyarthritis,2018-08,England,60,449375,98,0.013
Pigs,Total Rejection,Polyarthritis,2018-09,England,48,384442,98,0.012
Pigs,Total Rejection,Polyarthritis,2018-07,Wales,1,2512,11,0.04
Pigs,Total Rejection,Polyarthritis,2018-08,Wales,2,2400,12,0.083
Pigs,Total Rejection,Processing Fault,2018-07,England,260,320195,98,0.081
Pigs,Total Rejection,Processing Fault,2018-08,England,70,449375,98,0.016
Pigs,Total Rejection,Processing Fault,2018-09,England,158,384442,98,0.041
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2018-07,England,344,320195,98,0.107
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2018-08,England,346,449375,98,0.077
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2018-09,England,346,384442,98,0.09
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2018-07,Wales,6,2512,11,0.239
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2018-08,Wales,5,2400,12,0.208
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2018-09,Wales,3,2319,11,0.129
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2018-07,England,146,320195,98,0.046
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2018-08,England,169,449375,98,0.038
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2018-09,England,140,384442,98,0.036
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2018-08,Wales,1,2400,12,0.042
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2018-09,Wales,4,2319,11,0.172
Pigs,Total Rejection,Septic Peritonitis & Pleurisy,2018-07,England,105,320195,98,0.033
Pigs,Total Rejection,Septic Peritonitis & Pleurisy,2018-08,England,106,449375,98,0.024
Pigs,Total Rejection,Septic Peritonitis & Pleurisy,2018-09,England,102,384442,98,0.027
Pigs,Total Rejection,Septic Pleurisy,2018-07,England,36,320195,98,0.011
Pigs,Total Rejection,Septic Pleurisy,2018-08,England,20,449375,98,0.004
Pigs,Total Rejection,Septic Pleurisy,2018-09,England,25,384442,98,0.007
Wild Boar,Conditions,Contamination,2018-09,England,1,9,2,11.111
